dataset_key,method,scan_direction,fsr_ghz,fsr_err_ghz,peak1_lambda_nm,peak2_lambda_nm,peak1_nu_ghz,peak2_nu_ghz
0p98mm,A_direct_l0_adjacent_modes,Falling,9.918807747133542,1.3548561156930666e-05,794.9744610100611,794.9953711310901,377109.54590804875,377099.6271003016
0p98mm,A_direct_l0_adjacent_modes,Rising,9.919918777944986,1.0135586576155648e-05,794.9744497532298,794.9953622159238,377109.5512479167,377099.63132913876
0p98mm,A_direct_l0_adjacent_modes,combined,9.919363262539264,0.0007856174208791917,,,,
0p98mm,B_global_merged,merged,8.231458773158375,,,,,
0p98mm,B_global_rising,rising,9.91331164458174,0.011373763669076461,,,,
0p98mm,B_global_falling,falling,9.92164713519177,0.013942979117343336,,,,
0p98mm,recommended,A_direct,9.919363262539264,0.0007856174208791917,,,,
0p98mm,A_minus_B,difference,1.6879044893808892,,,,,
