dataset_key,l,scan_direction,source,candidate_rank,fit_model,selected,branch_role,lambda_center_nm,lambda_center_err_nm,nu_center_ghz,nu_center_err_ghz,fwhm_nm,fwhm_err_nm,fwhm_ghz,fwhm_err_ghz,finesse_with_final_fsr,peak_power_uw,baseline_uw,amplitude_uw,prominence_uw,r_squared,residual_rms_uw,window_lambda_min_nm,window_lambda_max_nm,peak_index
0p98mm,0,Falling,final,2,lorentz,True,selected,794.9953711310901,8.58386851441853e-09,377099.6271003016,4.071688632928517e-06,0.0006482766022959051,3.279171075985263e-08,0.30750476526148923,1.55544828920549e-05,32.25759202171794,3.235954039079944,-0.005977231046717574,3.241931625779831,3.2271553133654747,0.9999754128841224,0.004429392128439282,794.9934362644829,794.9973075493186,287982
0p98mm,0,Falling,final,1,lorentz,False,candidate,794.9744610100611,2.7241072419203556e-08,377109.54590804875,1.2922262228401463e-05,0.0006494128308603366,1.0877132003919297e-07,0.30805993118501274,5.1597510510818766e-05,32.19945945057669,3.1968580754747067,-0.00925180374596625,3.206109923507355,3.1777308827183983,0.9997415742905269,0.013948774292479128,794.9731322577371,794.9763868548661,69007
0p98mm,0,Falling,final,2,lorentz,False,candidate,794.9953711310901,8.58386851441853e-09,377099.6271003016,4.071688632928517e-06,0.0006482766022959051,3.279171075985263e-08,0.30750476526148923,1.55544828920549e-05,32.25759202171794,3.235954039079944,-0.005977231046717574,3.241931625779831,3.2271553133654747,0.9999754128841224,0.004429392128439282,794.9934362644829,794.9973075493186,287982
0p98mm,0,Falling,raw,1,lorentz,True,raw_validation,794.9953711310897,8.583664319910265e-09,377099.6271003018,4.071591774914351e-06,0.0006482765529382108,3.279038695053272e-08,0.30750474184906623,1.5553854953806442e-05,32.25759447770735,3.2359540862849343,-0.005977125790927375,3.2419315677320917,3.153681937243586,0.9999754135281933,0.004429286938164526,794.9934362644829,794.9973075493186,20270
0p98mm,0,Rising,final,1,lorentz,True,selected,794.9744497532298,1.905924488297328e-08,377109.5512479167,9.041074574375658e-06,0.0006477535152301585,7.30278087546983e-08,0.3072728155270039,3.4641973961114805e-05,32.28194217417689,3.2696401353143014,-0.00325184716165715,3.2728920049258385,3.24899483024639,0.9998791746469289,0.009932556171322842,794.9725339046797,794.9763677562729,38234
0p98mm,0,Rising,final,1,lorentz,False,candidate,794.9744497532298,1.905924488297328e-08,377109.5512479167,9.041074574375658e-06,0.0006477535152301585,7.30278087546983e-08,0.3072728155270039,3.4641973961114805e-05,32.28194217417689,3.2696401353143014,-0.00325184716165715,3.2728920049258385,3.24899483024639,0.9998791746469289,0.009932556171322842,794.9725339046797,794.9763677562729,38234
0p98mm,0,Rising,final,2,lorentz,False,candidate,794.9953622159238,9.65840135509625e-09,377099.63132913876,4.581384701520334e-06,0.000648471054507001,3.6935208636947766e-08,0.30759700899461395,1.7519918004596933e-05,32.24791845330639,3.262424108383767,-0.005634594063533327,3.2680587687626788,3.257666515412095,0.9999689245101878,0.005023225855606594,794.9934461002583,794.9973060214311,257364
0p98mm,0,Rising,raw,1,lorentz,True,raw_validation,794.9744497532392,1.9058811382017353e-08,377109.5512479122,9.040868935878503e-06,0.0006477544009527665,7.302371425670162e-08,0.3072732356844688,3.464003166686466e-05,32.281898032685184,2.8053374963596,-0.0027917095895930925,2.8081292251975056,2.7301383753337864,0.9998791752520413,0.00852189713289642,794.9725339046797,794.9763677562729,20077
0p98mm,1,Falling,final,1,lorentz,True,selected,794.990686643955,4.649855259377738e-08,377101.8491619956,2.2056472435535405e-05,0.0006421751184144791,1.7726826364970812e-07,0.30461416555987897,8.408675867919918e-05,32.563696584193764,2.9472230172338016,-0.0036060265294663315,2.950829044205568,2.941265814665819,0.9992703743514236,0.021942157794204286,794.9887577776066,794.992616075399,382274
0p98mm,1,Falling,final,1,lorentz,False,candidate,794.990686643955,4.649855259377738e-08,377101.8491619956,2.2056472435535405e-05,0.0006421751184144791,1.7726826364970812e-07,0.30461416555987897,8.408675867919918e-05,32.563696584193764,2.9472230172338016,-0.0036060265294663315,2.950829044205568,2.941265814665819,0.9992703743514236,0.021942157794204286,794.9887577776066,794.992616075399,382274
