Time_ms,Lambda_aligned,Power_uW,Scan_Direction
251329,794.9735081587819,3.51,Falling
251029,794.9735790204293,3.52,Falling
251629,794.9735797785063,3.8,Falling
514,794.9736227084612,4.08,Rising
250729,794.9736506401537,3.9,Falling
251929,794.9736513982307,4.220000000000001,Falling
814,794.9736943281856,4.65,Rising
250429,794.9737222598781,4.34,Falling
252229,794.9737230179551,4.7700000000000005,Falling
1114,794.9737659479099,5.32,Rising
250129,794.9737938796025,4.92,Falling
252529,794.9737946376795,5.43,Falling
1414,794.9738375676343,6.09,Rising
249829,794.9738654993268,5.609999999999999,Falling
252829,794.9738662574039,6.24,Falling
1714,794.9739091873587,7.0,Rising
253129,794.9739378771283,7.24,Falling
249277,794.9739972796197,7.300000000000001,Falling
2323,794.9740545753992,9.73,Rising
253671,794.974067270097,9.690000000000001,Falling
248977,794.974068899344,8.549999999999999,Falling
2623,794.9741261951236,11.7,Rising
253971,794.9741388898213,11.7,Falling
248677,794.9741405190684,10.1,Falling
2923,794.974197814848,14.1,Rising
254271,794.9742105095457,14.1,Falling
248377,794.9742121387928,12.1,Falling
3223,794.9742694345724,17.200000000000003,Rising
248074,794.9742844747145,14.7,Falling
3523,794.9743410542968,21.1,Rising
247774,794.9743560944389,18.0,Falling
3823,794.9744126740212,26.299999999999997,Rising
247474,794.9744277141633,22.4,Falling
4123,794.9744842937456,33.0,Rising
247174,794.9744993338877,27.7,Falling
4423,794.97455591347,40.3,Rising
246874,794.9745709536121,34.400000000000006,Falling
4723,794.9746275331944,47.1,Rising
246574,794.9746425733365,41.699999999999996,Falling
5023,794.9746991529188,51.5,Rising
246274,794.9747141930609,48.099999999999994,Falling
5323,794.9747707726432,51.1,Rising
245974,794.9747858127853,51.400000000000006,Falling
5623,794.9748423923676,46.5,Rising
245674,794.9748574325097,50.1,Falling
5923,794.974914012092,39.3,Rising
245374,794.9749290522341,45.300000000000004,Falling
6223,794.9749856318164,33.1,Rising
245074,794.9750006719585,39.400000000000006,Falling
6523,794.9750572515408,27.3,Rising
244774,794.9750722916829,32.6,Falling
6823,794.9751288712652,22.099999999999998,Rising
244474,794.9751439114071,26.299999999999997,Falling
7123,794.9752004909896,17.900000000000002,Rising
244174,794.9752155311315,21.2,Falling
7423,794.975272110714,14.8,Rising
243874,794.9752871508559,17.0,Falling
7723,794.9753437304383,12.2,Rising
243574,794.9753587705803,14.0,Falling
8023,794.9754153501627,10.200000000000001,Rising
243261,794.9754334938261,11.600000000000001,Falling
8323,794.9754869698871,8.620000000000001,Rising
242961,794.9755051135505,9.75,Falling
8623,794.9755585896115,7.37,Rising
242270,794.975670077649,6.8,Falling
9309,794.9757223600479,5.38,Rising
241970,794.9757416973735,5.93,Falling
9609,794.9757939797723,4.7700000000000005,Rising
241670,794.9758133170978,5.19,Falling
9909,794.9758655994967,4.24,Rising
241370,794.9758849368222,4.6,Falling
10209,794.9759372192211,3.8,Rising
241070,794.9759565565466,4.109999999999999,Falling
10509,794.9760088389455,3.42,Rising
240770,794.976028176271,3.7,Falling
10809,794.9760804586699,3.13,Rising
240470,794.9760997959954,3.33,Falling
11109,794.9761520783943,2.8499999999999996,Rising
240168,794.9761718931846,3.03,Falling
11409,794.9762236981187,2.62,Rising
239868,794.976243512909,2.7800000000000002,Falling
11709,794.976295317843,2.44,Rising
239568,794.9763151326334,2.5500000000000003,Falling
12009,794.9763669375674,2.26,Rising
239268,794.9763867523578,2.38,Falling
12309,794.9764385572918,2.0999999999999996,Rising
238968,794.9764583720822,2.23,Falling
12609,794.9765101770162,2.0,Rising
238668,794.9765299918066,2.0700000000000003,Falling
12909,794.9765817967406,1.9,Rising
238368,794.976601611531,1.9700000000000002,Falling
13209,794.976653416465,1.8199999999999998,Rising
238068,794.9766732312554,1.87,Falling
13509,794.9767250361894,1.7799999999999998,Rising
237768,794.9767448509798,1.7999999999999998,Falling
13809,794.9767966559137,1.75,Rising
237468,794.9768164707042,1.76,Falling
14109,794.9768682756381,1.74,Rising
237168,794.9768880904286,1.74,Falling
14409,794.9769398953625,1.77,Rising
236868,794.976959710153,1.73,Falling
14709,794.9770115150869,1.7799999999999998,Rising
236568,794.9770313298774,1.75,Falling
15009,794.9770831348113,1.74,Rising
236268,794.9771029496018,1.77,Falling
15309,794.9771547545357,1.7,Rising
235968,794.9771745693262,1.72,Falling
15609,794.9772263742601,1.5799999999999998,Rising
235668,794.9772461890504,1.6500000000000001,Falling
15912,794.9772987101818,1.4500000000000002,Rising
235368,794.9773178087748,1.54,Falling
16212,794.9773703299062,1.32,Rising
235068,794.9773894284992,1.4,Falling
16512,794.9774419496306,1.2,Rising
234768,794.9774610482236,1.28,Falling
16812,794.977513569355,1.1,Rising
234468,794.977532667948,1.18,Falling
17112,794.9775851890794,1.03,Rising
234168,794.9776042876724,1.08,Falling
17412,794.9776568088038,0.9540000000000001,Rising
233868,794.9776759073968,1.0,Falling
17712,794.9777284285282,0.897,Rising
233568,794.9777475271212,0.938,Falling
18012,794.9778000482524,0.8490000000000001,Rising
233268,794.9778191468456,0.875,Falling
18312,794.9778716679768,0.802,Rising
232965,794.9778914827673,0.831,Falling
18612,794.9779432877012,0.762,Rising
232665,794.9779631024917,0.7899999999999999,Falling
18912,794.9780149074256,0.733,Rising
232365,794.9780347222161,0.748,Falling
19212,794.97808652715,0.6980000000000001,Rising
232065,794.9781063419405,0.717,Falling
19512,794.9781581468744,0.671,Rising
231765,794.9781779616649,0.687,Falling
19812,794.9782297665988,0.647,Rising
231465,794.9782495813893,0.657,Falling
20112,794.9783013863232,0.624,Rising
231165,794.9783212011137,0.635,Falling
20412,794.9783730060476,0.5980000000000001,Rising
230865,794.978392820838,0.613,Falling
20712,794.978444625772,0.5840000000000001,Rising
230565,794.9784644405624,0.59,Falling
21012,794.9785162454964,0.5630000000000001,Rising
230265,794.9785360602868,0.5740000000000001,Falling
21312,794.9785878652208,0.546,Rising
229965,794.9786076800112,0.557,Falling
21612,794.9786594849452,0.532,Rising
229665,794.9786792997355,0.5379999999999999,Falling
21912,794.9787311046696,0.517,Rising
229365,794.9787509194599,0.5249999999999999,Falling
22212,794.978802724394,0.503,Rising
229065,794.9788225391843,0.511,Falling
22512,794.9788743441184,0.49399999999999994,Rising
228765,794.9788941589087,0.49800000000000005,Falling
22812,794.9789459638428,0.482,Rising
228465,794.9789657786331,0.48800000000000004,Falling
23112,794.9790175835672,0.47100000000000003,Rising
228165,794.9790373983575,0.47700000000000004,Falling
23415,794.9790899194888,0.46499999999999997,Rising
227865,794.9791090180819,0.46699999999999997,Falling
23715,794.9791615392132,0.458,Rising
227565,794.9791806378063,0.459,Falling
24015,794.9792331589375,0.451,Rising
227265,794.9792522575307,0.45499999999999996,Falling
24315,794.9793047786619,0.449,Rising
226965,794.9793238772551,0.447,Falling
24615,794.9793763983863,0.444,Rising
226665,794.9793954969795,0.444,Falling
24915,794.9794480181107,0.438,Rising
226365,794.9794671167039,0.44,Falling
25215,794.9795196378351,0.432,Rising
226065,794.9795387364283,0.434,Falling
25515,794.9795912575595,0.424,Rising
225762,794.9796110723499,0.427,Falling
25815,794.9796628772839,0.414,Rising
225462,794.9796826920743,0.42,Falling
26115,794.9797344970083,0.406,Rising
225162,794.9797543117987,0.41,Falling
26415,794.9798061167327,0.396,Rising
224862,794.9798259315231,0.39999999999999997,Falling
26715,794.9798777364571,0.386,Rising
224562,794.9798975512475,0.392,Falling
27015,794.9799493561815,0.38,Rising
224262,794.9799691709719,0.382,Falling
27315,794.9800209759059,0.372,Rising
223962,794.9800407906963,0.375,Falling
27615,794.9800925956303,0.364,Rising
223662,794.9801124104206,0.368,Falling
27915,794.9801642153546,0.36,Rising
223362,794.980184030145,0.36,Falling
28215,794.980235835079,0.352,Rising
223062,794.9802556498694,0.355,Falling
28515,794.9803074548034,0.346,Rising
222762,794.9803272695938,0.34900000000000003,Falling
28815,794.9803790745278,0.342,Rising
222462,794.9803988893182,0.34299999999999997,Falling
29115,794.9804506942522,0.337,Rising
222162,794.9804705090426,0.33799999999999997,Falling
29415,794.9805223139766,0.332,Rising
221862,794.980542128767,0.335,Falling
29715,794.980593933701,0.33,Rising
221562,794.9806137484914,0.329,Falling
30015,794.9806655534254,0.32599999999999996,Rising
221262,794.9806853682157,0.327,Falling
30315,794.9807371731498,0.323,Rising
220962,794.9807569879401,0.324,Falling
30615,794.9808087928742,0.32099999999999995,Rising
220662,794.9808286076645,0.32,Falling
30915,794.9808804125986,0.32,Rising
220362,794.9809002273889,0.319,Falling
31220,794.980953225985,0.317,Rising
220062,794.9809718471133,0.317,Falling
31520,794.9810248457094,0.318,Rising
219762,794.9810434668377,0.315,Falling
31820,794.9810964654338,0.318,Rising
219462,794.9811150865621,0.317,Falling
32120,794.9811680851582,0.32,Rising
219162,794.9811867062865,0.316,Falling
32420,794.9812397048826,0.324,Rising
218862,794.9812583260109,0.317,Falling
32735,794.9813149055932,0.329,Rising
218562,794.9813299457353,0.323,Falling
33038,794.9813872415149,0.33599999999999997,Rising
218260,794.9814020429245,0.327,Falling
33338,794.9814588612393,0.348,Rising
217960,794.9814736626489,0.334,Falling
33638,794.9815304809637,0.36,Rising
217660,794.9815452823733,0.34700000000000003,Falling
33938,794.9816021006881,0.373,Rising
217360,794.9816169020977,0.358,Falling
34238,794.9816737204125,0.391,Rising
217060,794.9816885218221,0.371,Falling
34538,794.9817453401369,0.396,Rising
216760,794.9817601415465,0.389,Falling
34838,794.9818169598612,0.396,Rising
216460,794.9818317612709,0.39299999999999996,Falling
35138,794.9818885795856,0.386,Rising
