Time_ms,Lambda_aligned,Power_uW,Scan_Direction
251202,794.9733142661814,15.0,Falling
251502,794.9733260059495,13.5,Falling
250902,794.9733858859058,16.2,Falling
251802,794.9733976256739,12.2,Falling
250602,794.9734575056302,15.8,Falling
252102,794.9734692453983,11.2,Falling
250302,794.9735291253546,14.1,Falling
132,794.9735315126787,14.2,Rising
252405,794.97354158132,10.299999999999999,Falling
250002,794.973600745079,12.799999999999999,Falling
432,794.9736031324031,12.9,Rising
252705,794.9736132010443,9.48,Falling
249702,794.9736723648034,11.600000000000001,Falling
732,794.9736747521275,11.7,Rising
253005,794.9736848207687,8.85,Falling
249402,794.9737439845278,10.7,Falling
1032,794.9737463718519,10.7,Rising
253305,794.973756440493,8.3,Falling
249102,794.9738156042522,9.850000000000001,Falling
1332,794.9738179915763,9.83,Rising
253605,794.9738280602174,7.890000000000001,Falling
248802,794.9738872239765,9.16,Falling
1632,794.9738896113007,9.14,Rising
253905,794.9738996799418,7.57,Falling
1932,794.9739612310251,8.559999999999999,Rising
254205,794.9739712996662,7.359999999999999,Falling
248375,794.9739891627175,8.36,Falling
2232,794.9740328507495,8.1,Rising
248075,794.9740607824419,7.920000000000001,Falling
254657,794.9740792067176,7.279999999999999,Falling
2532,794.9741044704739,7.74,Rising
247775,794.9741324021663,7.62,Falling
254957,794.974150826442,7.38,Falling
2832,794.9741760901983,7.47,Rising
247475,794.9742040218907,7.4,Falling
255257,794.9742224461664,7.63,Falling
3132,794.9742477099227,7.32,Rising
247162,794.9742787451365,7.279999999999999,Falling
255557,794.9742940658908,7.97,Falling
3432,794.9743193296471,7.3100000000000005,Rising
246862,794.9743503648609,7.300000000000001,Falling
255857,794.9743656856152,8.27,Falling
3732,794.9743909493715,7.4,Rising
246562,794.9744219845853,7.45,Falling
256157,794.9744373053396,8.379999999999999,Falling
4032,794.9744625690959,7.63,Rising
246262,794.9744936043097,7.73,Falling
256457,794.974508925064,8.16,Falling
4332,794.9745341888203,7.930000000000001,Rising
245962,794.9745652240341,8.1,Falling
256757,794.9745805447884,7.61,Falling
4632,794.9746058085447,8.25,Rising
245662,794.9746368437585,8.34,Falling
257057,794.9746521645128,6.9399999999999995,Falling
4932,794.974677428269,8.389999999999999,Rising
245362,794.9747084634829,8.35,Falling
257357,794.9747237842372,6.3,Falling
5232,794.9747490479934,8.209999999999999,Rising
245062,794.9747800832073,7.989999999999999,Falling
257657,794.9747954039616,5.640000000000001,Falling
5532,794.9748206677178,7.6499999999999995,Rising
244762,794.9748517029317,7.43,Falling
257957,794.974867023686,5.090000000000001,Falling
244459,794.9749240388533,6.7700000000000005,Falling
258257,794.9749386434104,4.62,Falling
6188,794.9749772761818,6.24,Rising
244159,794.9749956585777,6.04,Falling
258557,794.9750102631348,4.23,Falling
6488,794.9750488959062,5.58,Rising
243859,794.975067278302,5.42,Falling
258857,794.9750818828592,3.9299999999999997,Falling
6788,794.9751205156306,5.0200000000000005,Rising
243559,794.9751388980264,4.92,Falling
259157,794.9751535025836,3.69,Falling
7088,794.975192135355,4.57,Rising
243259,794.9752105177508,4.48,Falling
259457,794.975225122308,3.5,Falling
7391,794.9752644712767,4.21,Rising
242959,794.9752821374752,4.13,Falling
259760,794.9752974582295,3.3400000000000003,Falling
7691,794.975336091001,3.92,Rising
242659,794.9753537571996,3.8500000000000005,Falling
260060,794.9753690779539,3.21,Falling
7991,794.9754077107254,3.67,Rising
242359,794.975425376924,3.62,Falling
260360,794.9754406976783,3.09,Falling
8291,794.9754793304498,3.4699999999999998,Rising
242059,794.9754969966484,3.41,Falling
260660,794.9755123174027,2.99,Falling
8591,794.9755509501742,3.31,Rising
241759,794.9755686163728,3.25,Falling
260960,794.9755839371271,2.94,Falling
8891,794.9756225698986,3.17,Rising
241459,794.9756402360972,3.13,Falling
261260,794.9756555568515,2.9000000000000004,Falling
9191,794.975694189623,3.06,Rising
241159,794.9757118558216,3.02,Falling
261560,794.9757271765759,2.8600000000000003,Falling
9491,794.9757658093474,2.98,Rising
240859,794.975783475546,2.9299999999999997,Falling
261860,794.9757987963003,2.8600000000000003,Falling
9791,794.9758374290718,2.91,Rising
240559,794.9758550952704,2.87,Falling
262160,794.9758704160247,2.9000000000000004,Falling
10091,794.9759090487962,2.87,Rising
240259,794.9759267149948,2.8200000000000003,Falling
262460,794.9759420357491,2.9299999999999997,Falling
10391,794.9759806685205,2.84,Rising
239959,794.9759983347192,2.79,Falling
262760,794.9760136554735,3.0,Falling
10691,794.9760522882449,2.83,Rising
239659,794.9760699544436,2.79,Falling
263060,794.9760852751979,3.12,Falling
10991,794.9761239079693,2.8499999999999996,Rising
239359,794.976141574168,2.8200000000000003,Falling
263360,794.9761568949223,3.33,Falling
11291,794.9761955276937,2.91,Rising
239059,794.9762131938924,2.88,Falling
263660,794.9762285146467,3.5599999999999996,Falling
11591,794.9762671474181,3.0,Rising
238759,794.9762848136168,2.9699999999999998,Falling
263960,794.9763001343711,3.8299999999999996,Falling
11891,794.9763387671425,3.14,Rising
238459,794.9763564333412,3.1,Falling
264260,794.9763717540955,4.300000000000001,Falling
12191,794.9764103868669,3.35,Rising
238159,794.9764280530655,3.3000000000000003,Falling
264560,794.9764433738198,4.8999999999999995,Falling
12491,794.9764820065913,3.5999999999999996,Rising
237859,794.9764996727899,3.58,Falling
264860,794.9765149935442,5.609999999999999,Falling
12791,794.9765536263156,4.01,Rising
237559,794.9765712925143,4.0,Falling
265160,794.9765866132686,6.59,Falling
13091,794.97662524604,4.55,Rising
237256,794.9766436284359,4.470000000000001,Falling
265460,794.976658232993,7.52,Falling
13391,794.9766968657644,5.2,Rising
236956,794.9767152481603,5.090000000000001,Falling
13691,794.9767684854888,6.06,Rising
236511,794.9768214840849,6.31,Falling
266148,794.9768224808943,7.84,Falling
13991,794.9768401052132,7.05,Rising
236211,794.9768931038093,7.15,Falling
266448,794.9768941006187,7.32,Falling
235911,794.9769647235337,7.890000000000001,Falling
14600,794.9769854932538,8.770000000000001,Rising
235612,794.9770361045256,8.290000000000001,Falling
14900,794.9770571129782,8.770000000000001,Rising
15200,794.9771287327026,8.1,Rising
235005,794.9771810151013,7.119999999999999,Falling
15503,794.9772010686241,7.130000000000001,Rising
234705,794.9772526348257,6.1,Falling
234405,794.9773242545501,5.28,Falling
16184,794.9773636453986,4.88,Rising
234105,794.9773958742745,4.46,Falling
16484,794.977435265123,4.13,Rising
233805,794.9774674939988,3.9299999999999997,Falling
16784,794.9775068848473,3.55,Rising
233505,794.9775391137232,3.46,Falling
17084,794.9775785045717,3.11,Rising
233205,794.9776107334476,3.05,Falling
17384,794.9776501242961,2.81,Rising
232905,794.977682353172,2.74,Falling
17684,794.9777217440205,2.56,Rising
232605,794.9777539728964,2.5,Falling
17984,794.9777933637449,2.38,Rising
232305,794.9778255926208,2.31,Falling
18284,794.9778649834693,2.23,Rising
232005,794.9778972123452,2.16,Falling
18584,794.9779366031937,2.1100000000000003,Rising
231705,794.9779688320696,2.05,Falling
18884,794.9780082229181,2.0,Rising
231405,794.978040451794,1.9700000000000002,Falling
19184,794.9780798426425,1.9300000000000002,Rising
231105,794.9781120715184,1.89,Falling
19484,794.9781514623669,1.8599999999999999,Rising
230805,794.9781836912427,1.8399999999999999,Falling
19784,794.9782230820913,1.81,Rising
230505,794.9782553109671,1.79,Falling
20084,794.9782947018157,1.77,Rising
230205,794.9783269306915,1.75,Falling
20384,794.97836632154,1.75,Rising
229905,794.9783985504159,1.72,Falling
20684,794.9784379412644,1.74,Rising
229603,794.9784706476051,1.71,Falling
20984,794.9785095609888,1.75,Rising
229303,794.9785422673295,1.72,Falling
21284,794.9785811807131,1.76,Rising
229003,794.9786138870539,1.76,Falling
21584,794.9786528004375,1.7999999999999998,Rising
228703,794.9786855067783,1.79,Falling
21884,794.9787244201619,1.85,Rising
228403,794.9787571265027,1.81,Falling
22184,794.9787960398863,1.9300000000000002,Rising
228103,794.9788287462271,1.9,Falling
22484,794.9788676596107,2.04,Rising
227803,794.9789003659515,2.01,Falling
22784,794.9789392793351,2.1799999999999997,Rising
227503,794.9789719856759,2.1500000000000004,Falling
23084,794.9790108990595,2.35,Rising
227203,794.9790436054003,2.35,Falling
23387,794.9790832349812,2.61,Rising
226903,794.9791152251247,2.61,Falling
23687,794.9791548547056,2.8899999999999997,Rising
226603,794.9791868448491,2.87,Falling
23987,794.97922647443,3.1999999999999997,Rising
226303,794.9792584645735,3.15,Falling
24287,794.9792980941544,3.5,Rising
226003,794.9793300842979,3.33,Falling
24587,794.9793697138788,3.6100000000000003,Rising
225703,794.9794017040223,3.39,Falling
24887,794.9794413336032,3.46,Rising
225403,794.9794733237467,3.17,Falling
25187,794.9795129533276,3.21,Rising
225103,794.9795449434711,2.8899999999999997,Falling
25487,794.979584573052,2.8899999999999997,Rising
224803,794.9796165631955,2.71,Falling
25787,794.9796561927764,2.58,Rising
224503,794.9796881829199,2.46,Falling
26087,794.9797278125008,2.32,Rising
224203,794.9797598026443,2.23,Falling
26387,794.9797994322251,2.1100000000000003,Rising
223903,794.9798314223686,2.06,Falling
26687,794.9798710519494,1.9400000000000002,Rising
223603,794.979903042093,1.9,Falling
26987,794.9799426716738,1.8199999999999998,Rising
223303,794.9799746618174,1.77,Falling
27287,794.9800142913982,1.73,Rising
223003,794.9800462815417,1.68,Falling
27587,794.9800859111226,1.6500000000000001,Rising
222703,794.9801179012661,1.6199999999999999,Falling
27887,794.980157530847,1.59,Rising
222403,794.9801895209905,1.56,Falling
28187,794.9802291505714,1.55,Rising
222100,794.9802618569122,1.52,Falling
28487,794.9803007702958,1.53,Rising
221800,794.9803334766366,1.49,Falling
28787,794.9803723900202,1.51,Rising
221500,794.980405096361,1.47,Falling
29087,794.9804440097446,1.51,Rising
221200,794.9804767160854,1.46,Falling
29387,794.980515629469,1.5,Rising
220900,794.9805483358098,1.46,Falling
29687,794.9805872491934,1.49,Rising
220600,794.9806199555342,1.4500000000000002,Falling
29987,794.9806588689178,1.49,Rising
220300,794.9806915752586,1.46,Falling
30287,794.9807304886422,1.5,Rising
220000,794.980763194983,1.47,Falling
30587,794.9808021083666,1.51,Rising
219700,794.9808348147074,1.48,Falling
30887,794.980873728091,1.52,Rising
219400,794.9809064344317,1.5,Falling
31192,794.9809465414775,1.54,Rising
219100,794.9809780541561,1.52,Falling
31492,794.9810181612019,1.57,Rising
218800,794.9810496738805,1.55,Falling
31792,794.9810897809263,1.61,Rising
218500,794.9811212936049,1.59,Falling
32092,794.9811614006506,1.66,Rising
218200,794.9811929133293,1.64,Falling
32392,794.981233020375,1.71,Rising
217900,794.9812645330537,1.7,Falling
32708,794.981308459818,1.7799999999999998,Rising
217600,794.9813361527781,1.76,Falling
33011,794.9813807957397,1.8599999999999999,Rising
217286,794.9814111147563,1.85,Falling
33311,794.981452415464,1.96,Rising
216986,794.9814827344807,1.96,Falling
33611,794.9815240351884,2.08,Rising
216686,794.9815543542051,2.06,Falling
33911,794.9815956549128,2.1900000000000004,Rising
216386,794.9816259739295,2.17,Falling
34211,794.9816672746372,2.27,Rising
216086,794.9816975936538,2.26,Falling
34511,794.9817388943616,2.33,Rising
215786,794.9817692133782,2.3,Falling
34811,794.981810514086,2.38,Rising
215486,794.9818408331026,2.34,Falling
35111,794.9818821338104,2.4,Rising
215186,794.981912452827,2.37,Falling
35411,794.9819537535348,2.42,Rising
214883,794.9819847887486,2.39,Falling
35711,794.9820253732591,2.46,Rising
214583,794.982056408473,2.43,Falling
36011,794.9820969929835,2.52,Rising
214283,794.9821280281974,2.4899999999999998,Falling
36311,794.9821686127079,2.6,Rising
213983,794.9821996479218,2.58,Falling
36611,794.9822402324323,2.71,Rising
213683,794.9822712676462,2.68,Falling
36911,794.9823118521567,2.84,Rising
213383,794.9823428873706,2.81,Falling
37211,794.9823834718811,2.9699999999999998,Rising
213083,794.982414507095,2.9699999999999998,Falling
37511,794.9824550916055,3.13,Rising
212783,794.9824861268194,3.15,Falling
37811,794.9825267113299,3.31,Rising
212483,794.9825577465438,3.36,Falling
38111,794.9825983310543,3.58,Rising
212183,794.9826293662682,3.62,Falling
38411,794.9826699507787,3.89,Rising
211883,794.9827009859926,3.9099999999999997,Falling
38711,794.9827415705031,4.23,Rising
211583,794.982772605717,4.24,Falling
39014,794.9828139064248,4.6,Rising
211283,794.9828442254413,4.65,Falling
39314,794.9828855261491,5.069999999999999,Rising
210983,794.9829158451657,5.14,Falling
39614,794.9829571458735,5.62,Rising
210683,794.9829874648901,5.6899999999999995,Falling
39914,794.9830287655979,6.34,Rising
40214,794.9831003853222,7.17,Rising
210171,794.9831096958864,6.99,Falling
209871,794.9831813156108,7.97,Falling
209571,794.9832529353351,9.25,Falling
40908,794.9832660656181,9.850000000000001,Rising
209271,794.9833245550595,11.0,Falling
41208,794.9833376853425,11.8,Rising
208971,794.9833961747839,13.1,Falling
41508,794.9834093050669,14.2,Rising
208671,794.9834677945083,15.6,Falling
41808,794.9834809247913,17.200000000000003,Rising
208371,794.9835394142327,19.0,Falling
42108,794.9835525445156,21.0,Rising
208071,794.9836110339571,23.5,Falling
42408,794.98362416424,25.9,Rising
207771,794.9836826536815,29.099999999999998,Falling
42708,794.9836957839644,32.4,Rising
207471,794.9837542734059,36.0,Falling
43008,794.9837674036888,39.8,Rising
207168,794.9838266093276,44.1,Falling
43308,794.9838390234132,47.7,Rising
206868,794.983898229052,51.8,Falling
43608,794.9839106431376,54.4,Rising
206568,794.9839698487764,56.6,Falling
43908,794.983982262862,57.2,Rising
206268,794.9840414685008,56.4,Falling
44208,794.9840538825864,55.5,Rising
205968,794.9841130882252,51.6,Falling
44508,794.9841255023107,49.5,Rising
205668,794.9841847079496,44.3,Falling
44808,794.9841971220351,41.699999999999996,Rising
205368,794.984256327674,36.300000000000004,Falling
45108,794.9842687417595,33.800000000000004,Rising
205068,794.9843279473984,29.4,Falling
45408,794.9843403614839,27.4,Rising
204768,794.9843995671228,23.8,Falling
45708,794.9844119812083,22.2,Rising
204468,794.984471186847,19.3,Falling
46008,794.9844836009327,18.2,Rising
204168,794.9845428065714,15.9,Falling
46308,794.9845552206571,15.2,Rising
203868,794.9846144262958,13.299999999999999,Falling
46608,794.9846268403815,12.9,Rising
203568,794.9846860460202,11.399999999999999,Falling
46911,794.9846991763031,10.9,Rising
203268,794.9847576657446,9.78,Falling
47211,794.9847707960275,9.42,Rising
47511,794.9848424157519,8.24,Rising
202590,794.9849195263217,7.21,Falling
202290,794.9849911460461,6.430000000000001,Falling
48184,794.9850030826669,6.3,Rising
201990,794.9850627657705,5.77,Falling
48484,794.9850747023913,5.68,Rising
201690,794.9851343854949,5.25,Falling
48784,794.9851463221157,5.14,Rising
201390,794.9852060052193,4.8,Falling
49084,794.9852179418401,4.71,Rising
201090,794.9852776249437,4.42,Falling
49384,794.9852895615645,4.34,Rising
200790,794.9853492446681,4.09,Falling
49684,794.9853611812889,4.05,Rising
200490,794.9854208643925,3.84,Falling
49984,794.9854328010133,3.8,Rising
200190,794.9854924841169,3.6100000000000003,Falling
50284,794.9855044207377,3.5999999999999996,Rising
199890,794.9855641038413,3.43,Falling
50584,794.9855760404621,3.43,Rising
199587,794.985636439763,3.28,Falling
50884,794.9856476601865,3.3000000000000003,Rising
199287,794.9857080594874,3.17,Falling
51184,794.9857192799109,3.1999999999999997,Rising
198987,794.9857796792118,3.09,Falling
51484,794.9857908996353,3.13,Rising
198687,794.9858512989362,3.04,Falling
51784,794.9858625193597,3.09,Rising
198387,794.9859229186605,3.03,Falling
52084,794.9859341390841,3.09,Rising
198087,794.985994538385,3.07,Falling
52384,794.9860057588085,3.15,Rising
197787,794.9860661581093,3.1599999999999997,Falling
52684,794.9860773785329,3.25,Rising
197487,794.9861377778336,3.29,Falling
52984,794.9861489982572,3.39,Rising
197187,794.986209397558,3.43,Falling
53284,794.9862206179816,3.55,Rising
196887,794.9862810172824,3.5700000000000003,Falling
